;ep;fr;flow
0;3.0;1.0;0.0
1;3.0;2.0;-14.87569522857666
2;3.0;3.0;-14.102884292602539
3;3.0;4.0;-14.354713439941406
4;3.0;5.0;-16.113452911376953
5;3.0;6.0;-15.416268348693848
6;3.0;7.0;-14.432812690734863
7;3.0;8.0;-13.711746215820312
8;3.0;9.0;-13.89823055267334
9;3.0;10.0;-13.025957107543945
10;3.0;11.0;-14.425313949584961
11;3.0;12.0;-13.306207656860352
12;3.0;13.0;-13.99701976776123
13;3.0;14.0;-14.126591682434082
14;3.0;15.0;-13.739835739135742
15;3.0;16.0;-12.562073707580566
16;3.0;17.0;-14.096196174621582
17;3.0;18.0;-12.17943286895752
18;3.0;19.0;-14.264386177062988
19;3.0;20.0;-14.658138275146484
20;3.0;21.0;-14.773351669311523
21;3.0;22.0;-13.978738784790039
22;3.0;23.0;-15.104277610778809
23;3.0;24.0;-14.766956329345703
24;3.0;25.0;-13.50403118133545
25;3.0;26.0;-14.615250587463379
26;3.0;27.0;-13.00085163116455
27;3.0;28.0;-15.343984603881836
28;3.0;29.0;-14.9051513671875
29;3.0;30.0;-15.063867568969727
30;3.0;31.0;-15.67894172668457
31;3.0;32.0;-14.965096473693848
32;3.0;33.0;-14.570385932922363
33;3.0;34.0;-14.826025009155273
34;3.0;35.0;-14.37833023071289
35;3.0;36.0;-14.325512886047363
36;3.0;37.0;-15.030365943908691
37;3.0;38.0;-14.521088600158691
38;3.0;39.0;-14.54703426361084
39;3.0;40.0;-15.092926025390625
40;3.0;41.0;-13.705426216125488
41;3.0;42.0;-12.727508544921875
42;3.0;43.0;-14.888996124267578
43;3.0;44.0;-14.170228004455566
44;3.0;45.0;-13.712715148925781
45;3.0;46.0;-14.963892936706543
46;3.0;47.0;-13.221101760864258
47;3.0;48.0;-12.985063552856445
48;3.0;49.0;-13.568143844604492
49;3.0;50.0;-12.922613143920898
50;3.0;51.0;-13.077378273010254
51;3.0;52.0;-13.354484558105469
52;3.0;53.0;-12.739853858947754
53;3.0;54.0;-12.882539749145508
54;3.0;55.0;-14.82528018951416
55;3.0;56.0;-14.34132194519043
56;3.0;57.0;-14.768320083618164
57;3.0;58.0;-13.6190824508667
58;3.0;59.0;-12.793478965759277
59;3.0;60.0;-12.885092735290527
60;3.0;61.0;-12.508918762207031
61;3.0;62.0;-13.144011497497559
62;3.0;63.0;-13.062161445617676
63;3.0;64.0;-13.44446086883545
64;3.0;65.0;-13.258277893066406
65;3.0;66.0;-12.513785362243652
66;3.0;67.0;-12.268380165100098
67;3.0;68.0;-13.53467082977295
68;3.0;69.0;-11.69176959991455
69;3.0;70.0;-12.49312973022461
70;3.0;71.0;-13.838250160217285
71;3.0;72.0;-13.168121337890625
72;3.0;73.0;-13.130785942077637
73;3.0;74.0;-13.644026756286621
74;3.0;75.0;-12.39137077331543
75;3.0;76.0;-12.296597480773926
76;3.0;77.0;-12.694963455200195
77;3.0;78.0;-12.139777183532715
78;3.0;79.0;-13.191521644592285
79;3.0;80.0;-12.867189407348633
80;3.0;81.0;-12.089912414550781
81;3.0;82.0;-12.31630802154541
82;3.0;83.0;-12.035554885864258
83;3.0;84.0;-13.091161727905273
84;3.0;85.0;-13.207762718200684
85;3.0;86.0;-12.45058536529541
86;3.0;87.0;-12.537530899047852
87;3.0;88.0;-12.920119285583496
88;3.0;89.0;-12.463720321655273
89;3.0;90.0;-12.403688430786133
90;3.0;91.0;-12.6069974899292
91;3.0;92.0;-12.776412010192871
92;3.0;93.0;-13.097198486328125
93;3.0;94.0;-12.697566986083984
94;3.0;95.0;-12.433340072631836
95;3.0;96.0;-12.464128494262695
96;3.0;97.0;-12.479233741760254
97;3.0;98.0;-12.911750793457031
98;3.0;99.0;-12.265433311462402
99;3.0;100.0;-12.343626976013184
100;3.0;101.0;-12.05881118774414
101;3.0;102.0;-12.400866508483887
102;3.0;103.0;-12.098735809326172
103;3.0;104.0;-12.440521240234375
104;3.0;105.0;-12.946738243103027
105;3.0;106.0;-12.584714889526367
106;3.0;107.0;-12.841832160949707
107;3.0;108.0;-13.144571304321289
108;3.0;109.0;-13.4789457321167
109;3.0;110.0;-12.474980354309082
110;3.0;111.0;-12.768962860107422
111;3.0;112.0;-13.723328590393066
112;3.0;113.0;-12.96957778930664
113;3.0;114.0;-13.860342025756836
114;3.0;115.0;-13.625903129577637
115;3.0;116.0;-13.820720672607422
116;3.0;117.0;-13.931990623474121
117;3.0;118.0;-13.056318283081055
118;3.0;119.0;-12.8365478515625
119;3.0;120.0;-13.943734169006348
120;3.0;121.0;-14.583966255187988
121;3.0;122.0;-14.853363990783691
122;3.0;123.0;-15.476292610168457
123;3.0;124.0;-14.771486282348633
124;3.0;125.0;-15.09300422668457
125;3.0;126.0;-14.10953140258789
126;3.0;127.0;-13.75511360168457
127;3.0;128.0;-14.1379976272583
128;3.0;129.0;-14.988608360290527
129;3.0;130.0;-14.368196487426758
130;3.0;131.0;-15.343365669250488
131;3.0;132.0;-14.74217414855957
132;3.0;133.0;-15.577055931091309
133;3.0;134.0;-15.195328712463379
134;3.0;135.0;-14.925650596618652
135;3.0;136.0;-15.016815185546875
136;3.0;137.0;-14.851049423217773
137;3.0;138.0;-14.448583602905273
138;3.0;139.0;-16.45677375793457
139;3.0;140.0;-15.435765266418457
140;3.0;141.0;-15.784402847290039
141;3.0;142.0;-15.709620475769043
142;3.0;143.0;-15.181726455688477
143;3.0;144.0;-14.776780128479004
144;3.0;145.0;-14.779632568359375
145;3.0;146.0;-15.79830551147461
146;3.0;147.0;-14.305564880371094
147;3.0;148.0;-14.819449424743652
148;3.0;149.0;-14.558658599853516
149;3.0;150.0;-14.481070518493652
150;3.0;151.0;-13.9453763961792
151;3.0;152.0;-14.754076957702637
152;3.0;153.0;-14.394453048706055
153;3.0;154.0;-15.739096641540527
154;3.0;155.0;-16.293581008911133
155;3.0;156.0;-15.633606910705566
156;3.0;157.0;-16.129362106323242
157;3.0;158.0;-16.161165237426758
158;3.0;159.0;-15.341421127319336
159;3.0;160.0;-15.139632225036621
160;3.0;161.0;-15.569416046142578
161;3.0;162.0;-16.566486358642578
162;3.0;163.0;-16.403583526611328
163;3.0;164.0;-17.25373077392578
164;3.0;165.0;-17.00847816467285
165;3.0;166.0;-17.525205612182617
166;3.0;167.0;-17.457191467285156
167;3.0;168.0;-16.478534698486328
168;3.0;169.0;-16.782155990600586
169;3.0;170.0;-16.878889083862305
170;3.0;171.0;-18.076663970947266
171;3.0;172.0;-18.78297996520996
172;3.0;173.0;-18.89825439453125
173;3.0;174.0;-17.7893009185791
174;3.0;175.0;-18.512840270996094
175;3.0;176.0;-18.640216827392578
176;3.0;177.0;-17.240442276000977
177;3.0;178.0;-19.19230079650879
178;3.0;179.0;-18.80164337158203
179;3.0;180.0;-19.445058822631836
180;3.0;181.0;-19.472984313964844
181;3.0;182.0;-19.270618438720703
182;3.0;183.0;-18.70104217529297
183;3.0;184.0;-19.268638610839844
184;3.0;185.0;-18.07202911376953
185;3.0;186.0;-19.525951385498047
186;3.0;187.0;-19.87918472290039
187;3.0;188.0;-19.277311325073242
188;3.0;189.0;-20.191404342651367
189;3.0;190.0;-19.729211807250977
190;3.0;191.0;-20.06930923461914
191;3.0;192.0;-18.52549934387207
192;3.0;193.0;-18.173124313354492
193;3.0;194.0;-19.247798919677734
194;3.0;195.0;-18.277538299560547
195;3.0;196.0;-17.960153579711914
196;3.0;197.0;-18.747743606567383
197;3.0;198.0;-19.390274047851562
198;3.0;199.0;-18.37099838256836
199;3.0;200.0;-18.827375411987305
200;3.0;201.0;-17.275188446044922
201;3.0;202.0;-15.768317222595215
202;3.0;203.0;-17.17052459716797
203;3.0;204.0;-17.717056274414062
204;3.0;205.0;-17.437088012695312
205;3.0;206.0;-17.598827362060547
206;3.0;207.0;-17.26362419128418
207;3.0;208.0;-17.637609481811523
208;3.0;209.0;-16.76610565185547
209;3.0;210.0;-17.2220516204834
210;3.0;211.0;-17.23188018798828
211;3.0;212.0;-16.715984344482422
212;3.0;213.0;-16.88457679748535
213;3.0;214.0;-18.429704666137695
214;3.0;215.0;-16.526927947998047
215;3.0;216.0;-17.801809310913086
216;3.0;217.0;-17.539472579956055
217;3.0;218.0;-15.5116605758667
218;3.0;219.0;-17.710468292236328
219;3.0;220.0;-16.360977172851562
220;3.0;221.0;-15.562822341918945
221;3.0;222.0;-16.160743713378906
222;3.0;223.0;-16.266523361206055
223;3.0;224.0;-15.452406883239746
224;3.0;225.0;-16.68684196472168
225;3.0;226.0;-16.336471557617188
226;3.0;227.0;-15.717487335205078
227;3.0;228.0;-15.807412147521973
228;3.0;229.0;-15.2520170211792
229;3.0;230.0;-14.318408012390137
230;3.0;231.0;-15.5612154006958
231;3.0;232.0;-14.745359420776367
232;3.0;233.0;-15.927391052246094
233;3.0;234.0;-15.130950927734375
234;3.0;235.0;-14.24495792388916
235;3.0;236.0;-13.715988159179688
236;3.0;237.0;-12.021808624267578
237;3.0;238.0;-12.443037033081055
238;3.0;239.0;-13.640731811523438
239;3.0;240.0;-12.614202499389648
240;3.0;241.0;-14.297844886779785
241;3.0;242.0;-13.725297927856445
242;3.0;243.0;-13.968623161315918
243;3.0;244.0;-14.035048484802246
244;3.0;245.0;-12.797657012939453
245;3.0;246.0;-12.387720108032227
246;3.0;247.0;-12.261368751525879
247;3.0;248.0;-11.92496109008789
248;3.0;249.0;-12.522186279296875
249;3.0;250.0;-12.34178638458252
250;3.0;251.0;-11.63558292388916
251;3.0;252.0;-11.581098556518555
252;3.0;253.0;-11.23202133178711
253;3.0;254.0;-11.00171947479248
254;3.0;255.0;-11.647071838378906
255;3.0;256.0;-11.852489471435547
256;3.0;257.0;-11.509384155273438
257;3.0;258.0;-12.012365341186523
258;3.0;259.0;-11.89301586151123
259;3.0;260.0;-11.84656810760498
260;3.0;261.0;-11.377696990966797
261;3.0;262.0;-11.095012664794922
262;3.0;263.0;-10.993958473205566
263;3.0;264.0;-11.41551399230957
264;3.0;265.0;-10.838448524475098
265;3.0;266.0;-11.818123817443848
266;3.0;267.0;-10.313813209533691
267;3.0;268.0;-11.521017074584961
268;3.0;269.0;-10.529664039611816
269;3.0;270.0;-9.278071403503418
270;3.0;271.0;-10.459232330322266
271;3.0;272.0;-9.110702514648438
272;3.0;273.0;-10.052183151245117
273;3.0;274.0;-11.207601547241211
274;3.0;275.0;-11.079305648803711
275;3.0;276.0;-11.069713592529297
276;3.0;277.0;-12.199135780334473
277;3.0;278.0;-11.373483657836914
278;3.0;279.0;-11.374951362609863
279;3.0;280.0;-10.437241554260254
280;3.0;281.0;-9.93146800994873
281;3.0;282.0;-11.06206226348877
282;3.0;283.0;-11.149881362915039
283;3.0;284.0;-11.009909629821777
284;3.0;285.0;-10.822823524475098
285;3.0;286.0;-9.463744163513184
286;3.0;287.0;-10.609832763671875
287;3.0;288.0;-10.400516510009766
288;3.0;289.0;-10.977616310119629
289;3.0;290.0;-10.260843276977539
290;3.0;291.0;-11.379443168640137
291;3.0;292.0;-11.09711742401123
292;3.0;293.0;-11.94566822052002
293;3.0;294.0;-11.901142120361328
294;3.0;295.0;-10.909420013427734
295;3.0;296.0;-12.03648853302002
296;3.0;297.0;-11.698992729187012
297;3.0;298.0;-12.980744361877441
298;3.0;299.0;-12.022014617919922
299;3.0;300.0;-12.727806091308594
300;3.0;301.0;-13.44167709350586
301;3.0;302.0;-12.844884872436523
302;3.0;303.0;-12.042545318603516
303;3.0;304.0;-11.556053161621094
304;3.0;305.0;-10.638842582702637
305;3.0;306.0;-11.883634567260742
306;3.0;307.0;-12.351415634155273
307;3.0;308.0;-13.578286170959473
308;3.0;309.0;-13.39388656616211
309;3.0;310.0;-13.2955904006958
310;3.0;311.0;-13.214637756347656
311;3.0;312.0;-12.694456100463867
312;3.0;313.0;-12.557353019714355
313;3.0;314.0;-12.492496490478516
314;3.0;315.0;-12.686725616455078
315;3.0;316.0;-13.29244613647461
316;3.0;317.0;-12.745230674743652
317;3.0;318.0;-11.508941650390625
318;3.0;319.0;-11.014700889587402
319;3.0;320.0;-10.441152572631836
320;3.0;321.0;-9.435924530029297
321;3.0;322.0;-10.914288520812988
322;3.0;323.0;-10.497118949890137
323;3.0;324.0;-9.687620162963867
324;3.0;325.0;-10.572537422180176
325;3.0;326.0;-10.124680519104004
326;3.0;327.0;-9.770360946655273
327;3.0;328.0;-9.373827934265137
328;3.0;329.0;-10.516454696655273
329;3.0;330.0;-9.95588207244873
330;3.0;331.0;-9.954919815063477
331;3.0;332.0;-9.595386505126953
332;3.0;333.0;-8.755693435668945
333;3.0;334.0;-8.545710563659668
334;3.0;335.0;-8.967110633850098
335;3.0;336.0;-9.56416130065918
336;3.0;337.0;-8.961530685424805
337;3.0;338.0;-9.713231086730957
338;3.0;339.0;-9.879019737243652
339;3.0;340.0;-10.02799129486084
340;3.0;341.0;-10.730792999267578
341;3.0;342.0;-9.537016868591309
342;3.0;343.0;-9.850102424621582
343;3.0;344.0;-10.919267654418945
344;3.0;345.0;-11.302241325378418
345;3.0;346.0;-11.63305377960205
346;3.0;347.0;-11.438108444213867
347;3.0;348.0;-11.140639305114746
348;3.0;349.0;-11.561601638793945
349;3.0;350.0;-11.079168319702148
350;3.0;351.0;-12.61167049407959
351;3.0;352.0;-12.99751091003418
352;3.0;353.0;-12.391154289245605
353;3.0;354.0;-12.361392974853516
354;3.0;355.0;-14.356427192687988
355;3.0;356.0;-13.867783546447754
356;3.0;357.0;-14.901930809020996
